,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
375,183,Lake Sockeye,1984,NA,NA,NA,NA,NA,0
376,183,Lake Sockeye,1985,4400,NA,NA,NA,NA,0
377,183,Lake Sockeye,1986,NA,NA,NA,NA,NA,0
378,183,Lake Sockeye,1987,NA,NA,NA,NA,NA,0
379,183,Lake Sockeye,1988,NA,NA,NA,NA,NA,0
380,183,Lake Sockeye,1989,NA,NA,NA,NA,NA,0
381,183,Lake Sockeye,1990,1000,NA,NA,NA,NA,0
382,183,Lake Sockeye,1991,NA,NA,NA,NA,NA,0
383,183,Lake Sockeye,1992,NA,NA,NA,NA,NA,0
384,183,Lake Sockeye,1993,NA,NA,NA,NA,NA,0
385,183,Lake Sockeye,1994,NA,NA,NA,NA,NA,0
386,183,Lake Sockeye,1995,NA,NA,NA,NA,NA,0
387,183,Lake Sockeye,1996,NA,542,NA,NA,NA,0
388,183,Lake Sockeye,1997,NA,1284,NA,NA,NA,0
389,183,Lake Sockeye,1998,NA,3161,NA,NA,NA,0
390,183,Lake Sockeye,1999,NA,3741,NA,NA,NA,0
391,183,Lake Sockeye,2000,231,2246,NA,NA,NA,9.722943723
392,183,Lake Sockeye,2001,221,3969,NA,NA,NA,17.95927602
393,183,Lake Sockeye,2002,978,4713,NA,NA,NA,4.819018405
394,183,Lake Sockeye,2003,3377,1428,NA,NA,NA,0.422860527
